    0             18        1      127109.8
    1 3S2 3P6               (1)0( 0.0)               0.0          {1}6.000
    2 3S2 3P5 4S1           (3)1( 2.0)           93143.8          {1}1.000
    3 3S2 3P5 4S1           (3)1( 1.0)           93750.6          {1}1.000
    4 3S2 3P5 4S1           (3)1( 0.0)           94553.7          {1}1.000
    5 3S2 3P5 4S1           (1)1( 1.0)           95399.8          {1}1.000
    6 3S2 3P5 4P1           (3)0( 1.0)          104102.1          {1}1.000
    7 3S2 3P5 4P1           (3)2( 3.0)          105462.8          {1}1.000
    8 3S2 3P5 4P1           (3)2( 2.0)          105617.3          {1}1.000
    9 3S2 3P5 4P1           (3)2( 1.0)          106087.3          {1}1.000
   10 3S2 3P5 4P1           (3)1( 2.0)          106237.6          {1}1.000
   11 3S2 3P5 4P1           (3)1( 0.0)          107054.3          {1}1.000
   12 3S2 3P5 4P1           (1)1( 1.0)          107131.7          {1}1.000
   13 3S2 3P5 4P1           (1)2( 2.0)          107289.7          {1}1.000
   14 3S2 3P5 4P1           (3)1( 1.0)          107496.4          {1}1.000
   15 3S2 3P5 4P1           (1)0( 0.0)          108722.6          {1}1.000
   -1
  1.0    3       5.00+02 1.00+03 2.00+03 3.00+03 5.00+03 1.00+04 1.50+04 2.00+04 3.00+04 5.00+04 1.00+05 1.50+05 2.00+05 5.00+05
   3   1 1.69+08 3.69-05 1.48-04 5.81-04 1.21-03 2.71-03 7.21-03 1.29-02 1.95-02 3.42-02 6.28-02 1.14-01 1.48-01 1.74-01 2.73-01
   5   1 7.36+08 3.44-05 1.38-04 5.28-04 1.09-03 2.50-03 7.28-03 1.40-02 2.30-02 4.72-02 1.07-01 2.57-01 3.86-01 4.99-01 9.63-01
   8   1 2.91+03 6.80-05 2.34-04 6.03-04 9.33-04 1.53-03 3.23-03 5.45-03 8.04-03 1.35-02 2.30-02 3.62-02 4.18-02 4.46-02 5.00-02
  10   1 2.96+03 2.65-05 1.02-04 3.13-04 5.31-04 9.66-04 2.25-03 3.91-03 5.85-03 1.01-02 1.77-02 2.90-02 3.43-02 3.73-02 4.45-02
  11   1 1.00-30 6.28-04 1.10-03 1.68-03 2.11-03 2.81-03 4.46-03 6.53-03 9.04-03 1.48-02 2.65-02 4.79-02 6.03-02 6.78-02 7.92-02
  13   1 2.72+03 1.88-05 7.42-05 2.52-04 4.56-04 8.96-04 2.26-03 3.97-03 5.86-03 9.64-03 1.59-02 2.44-02 2.82-02 3.05-02 3.64-02
  15   1 1.00-30 4.51-03 8.75-03 1.28-02 1.49-02 1.78-02 2.53-02 3.51-02 4.67-02 7.25-02 1.24-01 2.19-01 2.74-01 3.08-01 3.60-01
   3   2 3.55-03 9.69-03 1.62-02 2.82-02 3.93-02 6.03-02 1.08-01 1.51-01 1.90-01 2.57-01 3.59-01 5.23-01 6.28-01 7.05-01 9.60-01
   4   2 1.57-06 6.80-03 1.10-02 1.81-02 2.46-02 3.65-02 6.30-02 8.65-02 1.08-01 1.44-01 1.97-01 2.78-01 3.25-01 3.58-01 4.60-01
   5   2 4.47-02 3.44-03 5.50-03 8.87-03 1.19-02 1.72-02 2.90-02 3.92-02 4.84-02 6.41-02 8.72-02 1.21-01 1.39-01 1.51-01 1.84-01
   6   2 2.02+07 2.50-03 1.00-02 4.00-02 9.01-02 2.50-01 1.00+00 2.26+00 4.04+00 9.36+00 2.58+01 7.59+01 1.20+02 1.56+02 2.91+02
   7   2 3.82+07 6.07-04 2.43-03 9.72-03 2.19-02 6.07-02 2.43-01 5.62-01 1.14+00 4.21+00 2.08+01 8.73+01 1.47+02 1.93+02 3.35+02
   8   2 1.05+07 5.66-04 2.26-03 9.05-03 2.04-02 5.66-02 2.26-01 5.12-01 9.36-01 2.35+00 7.35+00 2.31+01 3.59+01 4.53+01 7.01+01
   9   2 6.18+06 5.28-04 2.11-03 8.45-03 1.90-02 5.28-02 2.11-01 4.76-01 8.49-01 1.91+00 4.94+00 1.33+01 2.02+01 2.59+01 4.62+01
  10   2 2.95+07 2.62-03 1.05-02 4.18-02 9.42-02 2.62-01 1.05+00 2.36+00 4.22+00 9.73+00 2.67+01 7.86+01 1.25+02 1.65+02 3.17+02
  12   2 1.24+06 9.46-05 3.78-04 1.51-03 3.40-03 9.46-03 3.78-02 8.53-02 1.53-01 3.50-01 8.90-01 2.14+00 2.96+00 3.50+00 4.80+00
  13   2 5.32+06 2.55-04 1.02-03 4.08-03 9.18-03 2.55-02 1.02-01 2.31-01 4.21-01 1.04+00 3.14+00 9.37+00 1.42+01 1.77+01 2.71+01
  14   2 7.75+06 8.73-05 3.49-04 1.40-03 3.14-03 8.73-03 3.49-02 7.94-02 1.48-01 4.09-01 1.47+00 5.16+00 8.26+00 1.06+01 1.70+01
   5   3 8.49-03 7.57-03 1.22-02 1.99-02 2.68-02 3.96-02 6.77-02 9.27-02 1.15-01 1.53-01 2.10-01 2.92-01 3.40-01 3.72-01 4.68-01
   6   3 5.50+06 1.72+00 2.50+00 3.78+00 4.80+00 6.38+00 9.08+00 1.10+01 1.25+01 1.49+01 1.82+01 2.32+01 2.65+01 2.88+01 3.68+01
   8   3 2.31+07 7.07+00 1.02+01 1.55+01 1.99+01 2.67+01 3.87+01 4.73+01 5.43+01 6.51+01 8.06+01 1.05+02 1.20+02 1.32+02 1.70+02
   9   3 2.80+07 4.32+00 6.24+00 9.48+00 1.21+01 1.64+01 2.39+01 2.94+01 3.37+01 4.06+01 5.05+01 6.59+01 7.58+01 8.32+01 1.08+02
  10   3 4.98+06 1.22+00 1.76+00 2.67+00 3.42+00 4.62+00 6.75+00 8.30+00 9.54+00 1.15+01 1.43+01 1.87+01 2.15+01 2.37+01 3.08+01
  11   3 4.70+07 1.64+00 2.37+00 3.60+00 4.64+00 6.31+00 9.33+00 1.16+01 1.34+01 1.62+01 2.04+01 2.69+01 3.11+01 3.43+01 4.50+01
  12   3 1.44+05 1.54-02 2.23-02 3.39-02 4.36-02 5.94-02 8.77-02 1.08-01 1.25-01 1.52-01 1.91-01 2.52-01 2.91-01 3.21-01 4.21-01
  13   3 1.03+07 1.77+00 2.55+00 3.88+00 4.99+00 6.80+00 1.01+01 1.24+01 1.44+01 1.75+01 2.20+01 2.90+01 3.36+01 3.70+01 4.87+01
  14   3 2.41+06 2.28-01 3.29-01 5.01-01 6.45-01 8.80-01 1.31+00 1.62+00 1.88+00 2.28+00 2.87+00 3.81+00 4.41+00 4.87+00 6.41+00
  15   3 3.84+06 5.20-02 7.52-02 1.15-01 1.50-01 2.09-01 3.21-01 4.07-01 4.78-01 5.94-01 7.67-01 1.05+00 1.23+00 1.38+00 1.86+00
   6   4 9.91+05 1.84-04 7.35-04 2.94-03 6.62-03 1.84-02 7.35-02 1.66-01 2.95-01 6.69-01 1.74+00 4.50+00 6.48+00 7.86+00 1.18+01
   9   4 3.09+06 5.63-04 2.25-03 9.01-03 2.03-02 5.63-02 2.25-01 5.08-01 9.15-01 2.19+00 6.58+00 2.09+01 3.30+01 4.22+01 7.15+01
  12   4 2.27+07 4.52-04 1.81-03 7.24-03 1.63-02 4.52-02 1.81-01 4.09-01 7.43-01 1.87+00 6.15+00 2.12+01 3.44+01 4.46+01 7.78+01
  14   4 1.33+07 3.72-04 1.49-03 5.95-03 1.34-02 3.72-02 1.49-01 3.35-01 6.01-01 1.41+00 4.06+00 1.24+01 1.93+01 2.46+01 4.12+01
   6   5 1.65+05 1.06-01 1.56-01 2.35-01 2.95-01 3.86-01 5.38-01 6.42-01 7.24-01 8.48-01 1.02+00 1.28+00 1.45+00 1.57+00 1.97+00
   8   5 1.45+06 8.55-01 1.25+00 1.88+00 2.39+00 3.17+00 4.49+00 5.43+00 6.16+00 7.30+00 8.90+00 1.14+01 1.29+01 1.41+01 1.79+01
   9   5 1.01+06 2.94-01 4.28-01 6.48-01 8.24-01 1.10+00 1.57+00 1.90+00 2.16+00 2.57+00 3.15+00 4.03+00 4.60+00 5.01+00 6.42+00
  10   5 6.14+06 2.80+00 4.08+00 6.17+00 7.85+00 1.05+01 1.50+01 1.82+01 2.07+01 2.46+01 3.02+01 3.88+01 4.43+01 4.83+01 6.19+01
  11   5 1.71+06 1.10-01 1.59-01 2.41-01 3.08-01 4.13-01 5.98-01 7.30-01 8.35-01 1.00+00 1.24+00 1.60+00 1.84+00 2.01+00 2.60+00
  12   5 1.40+07 2.72+00 3.94+00 5.98+00 7.64+00 1.03+01 1.49+01 1.81+01 2.08+01 2.49+01 3.08+01 3.99+01 4.58+01 5.01+01 6.48+01
  13   5 2.41+07 7.41+00 1.07+01 1.63+01 2.08+01 2.80+01 4.06+01 4.97+01 5.69+01 6.83+01 8.45+01 1.10+02 1.26+02 1.38+02 1.78+02
  14   5 1.92+07 3.24+00 4.69+00 7.12+00 9.11+00 1.23+01 1.78+01 2.19+01 2.51+01 3.01+01 3.74+01 4.87+01 5.59+01 6.13+01 7.96+01
  15   5 5.79+07 1.35+00 1.95+00 2.96+00 3.83+00 5.27+00 7.91+00 9.90+00 1.15+01 1.41+01 1.79+01 2.40+01 2.80+01 3.10+01 4.12+01
   7   6 7.38-05 3.79+00 5.59+00 7.90+00 9.41+00 1.13+01 1.36+01 1.47+01 1.53+01 1.60+01 1.66+01 1.72+01 1.74+01 1.75+01 1.76+01
   8   6 1.02-04 1.51+00 2.23+00 3.13+00 3.71+00 4.45+00 5.34+00 5.75+00 5.99+00 6.26+00 6.50+00 6.70+00 6.78+00 6.81+00 6.88+00
   9   6 4.18-04 5.84-01 8.58-01 1.20+00 1.41+00 1.68+00 2.00+00 2.15+00 2.24+00 2.33+00 2.42+00 2.49+00 2.52+00 2.53+00 2.56+00
  10   6 1.67-03 1.74-01 2.56-01 3.56-01 4.20-01 4.99-01 5.93-01 6.37-01 6.63-01 6.91-01 7.17-01 7.38-01 7.46-01 7.50-01 7.57-01
  12   6 2.31-03 2.16-01 3.18-01 4.43-01 5.21-01 6.16-01 7.29-01 7.81-01 8.12-01 8.46-01 8.77-01 9.04-01 9.14-01 9.19-01 9.28-01
  13   6 4.59-03 1.86-01 2.74-01 3.81-01 4.48-01 5.30-01 6.27-01 6.72-01 6.98-01 7.27-01 7.54-01 7.77-01 7.86-01 7.90-01 7.98-01
  14   6 2.94-02 1.28-04 1.89-04 2.63-04 3.09-04 3.66-04 4.33-04 4.64-04 4.82-04 5.02-04 5.21-04 5.37-04 5.43-04 5.46-04 5.52-04
   8   7 7.93-05 1.10+00 1.78+00 2.74+00 3.40+00 4.27+00 5.36+00 5.89+00 6.22+00 6.61+00 7.02+00 7.45+00 7.67+00 7.81+00 8.23+00
   9   7 1.75-06 6.63-01 9.99-01 1.45+00 1.75+00 2.14+00 2.62+00 2.84+00 2.97+00 3.12+00 3.25+00 3.36+00 3.39+00 3.41+00 3.45+00
  10   7 1.10-03 3.55+00 5.30+00 7.61+00 9.15+00 1.11+01 1.35+01 1.46+01 1.53+01 1.60+01 1.67+01 1.72+01 1.74+01 1.75+01 1.77+01
  12   7 3.23-05 1.25-01 1.83-01 2.56-01 3.02-01 3.61-01 4.30-01 4.62-01 4.81-01 5.02-01 5.21-01 5.37-01 5.42-01 5.45-01 5.50-01
  13   7 3.65-02 5.84-01 8.58-01 1.20+00 1.41+00 1.68+00 2.00+00 2.15+00 2.24+00 2.34+00 2.42+00 2.49+00 2.52+00 2.53+00 2.56+00
  14   7 5.09-04 7.37-01 1.08+00 1.51+00 1.78+00 2.11+00 2.51+00 2.69+00 2.80+00 2.92+00 3.03+00 3.12+00 3.15+00 3.16+00 3.20+00
   9   8 1.48-03 1.75+00 2.68+00 3.95+00 4.81+00 5.93+00 7.30+00 7.94+00 8.32+00 8.74+00 9.12+00 9.43+00 9.54+00 9.60+00 9.70+00
  10   8 2.84-04 2.23+00 3.36+00 4.89+00 5.92+00 7.25+00 8.87+00 9.63+00 1.01+01 1.06+01 1.10+01 1.14+01 1.15+01 1.16+01 1.17+01
  11   8 6.67-04 1.22+00 1.78+00 2.50+00 2.95+00 3.53+00 4.22+00 4.53+00 4.72+00 4.93+00 5.11+00 5.27+00 5.32+00 5.35+00 5.40+00
  12   8 3.12-02 1.54-01 2.26-01 3.17-01 3.75-01 4.48-01 5.36-01 5.77-01 6.01-01 6.27-01 6.51-01 6.71-01 6.78-01 6.82-01 6.88-01
  13   8 4.58-04 3.82-01 5.61-01 7.84-01 9.27-01 1.11+00 1.32+00 1.42+00 1.48+00 1.54+00 1.60+00 1.65+00 1.67+00 1.67+00 1.69+00
  14   8 1.06-03 4.44-02 6.52-02 9.08-02 1.07-01 1.27-01 1.52-01 1.63-01 1.69-01 1.77-01 1.83-01 1.89-01 1.91-01 1.92-01 1.94-01
  15   8 3.82-02 3.98-01 5.85-01 8.22-01 9.69-01 1.15+00 1.36+00 1.46+00 1.52+00 1.59+00 1.65+00 1.70+00 1.73+00 1.74+00 1.76+00
  10   9 1.26-05 9.11-01 1.49+00 2.31+00 2.88+00 3.63+00 4.58+00 5.06+00 5.37+00 5.75+00 6.18+00 6.68+00 6.96+00 7.14+00 7.71+00
